
Thread-1::Middle Reading Current relative path is: D:\Java\JavaConsoleApp
File path :D:\Java\JavaConsoleApp\FlightData.dat

Thread-0::Source reading file...

Thread-2::Sink Reading 



2009 01 16::10:36:42:444 ID = 4 0.04866731382481282




2009 01 16::10:36:42:741 ID = 4 0.07118915824725347




2009 01 16::10:36:42:991 ID = 4 0.19082039263905726




2009 01 16::10:36:43:241 ID = 4 0.21570763135303483




2009 01 16::10:36:43:491 ID = 4 0.38306462723420864




2009 01 16::10:36:43:741 ID = 4 0.4901550381105735




2009 01 16::10:36:43:991 ID = 4 0.5830217744611232




2009 01 16::10:36:44:241 ID = 4 0.6251398116806195




2009 01 16::10:36:44:491 ID = 4 0.6277137002808186




2009 01 16::10:36:44:741 ID = 4 0.8116631225922433




2009 01 16::10:36:44:991 ID = 4 0.9146627664107121




2009 01 16::10:36:45:241 ID = 4 0.9357221631032919




2009 01 16::10:36:45:491 ID = 4 1.5315037258101238




2009 01 16::10:36:45:741 ID = 4 1.544102274772674




2009 01 16::10:36:45:991 ID = 4 1.56896041666037




2009 01 16::10:36:46:241 ID = 4 1.6698785062760013




2009 01 16::10:36:46:491 ID = 4 1.8624875556440545




2009 01 16::10:36:46:741 ID = 4 1.9033440648095312




2009 01 16::10:36:46:991 ID = 4 2.1230489385912543




2009 01 16::10:36:47:241 ID = 4 2.6756995813344786




2009 01 16::10:36:47:491 ID = 4 3.031781405823042




2009 01 16::10:36:47:757 ID = 4 3.4941787165746363




2009 01 16::10:36:48:007 ID = 4 3.664306592432609




2009 01 16::10:36:48:257 ID = 4 3.694558428197814




2009 01 16::10:36:48:507 ID = 4 3.801168928021703




2009 01 16::10:36:48:757 ID = 4 3.9671612747415153




2009 01 16::10:36:49:007 ID = 4 4.049206752727629




2009 01 16::10:36:49:257 ID = 4 4.589834076860666




2009 01 16::10:36:49:507 ID = 4 4.698621309119277




2009 01 16::10:36:49:757 ID = 4 5.033370991292296




2009 01 16::10:36:50:007 ID = 4 5.140780170708725




2009 01 16::10:36:50:257 ID = 4 5.219585816078598




2009 01 16::10:36:50:507 ID = 4 5.280164455935132




2009 01 16::10:36:50:757 ID = 4 5.483225091886368




2009 01 16::10:36:51:007 ID = 4 5.566608644543547




2009 01 16::10:36:51:257 ID = 4 6.177046550841203




2009 01 16::10:36:51:507 ID = 4 6.18707143155669




2009 01 16::10:36:51:757 ID = 4 6.36864651132022




2009 01 16::10:36:52:007 ID = 4 6.518869115195414




2009 01 16::10:36:52:257 ID = 4 6.60396793436453




2009 01 16::10:36:52:507 ID = 4 6.626804839419698




2009 01 16::10:36:52:757 ID = 4 6.939197553786059




2009 01 16::10:36:53:007 ID = 4 7.174583052940409




2009 01 16::10:36:53:257 ID = 4 7.193166249035121




2009 01 16::10:36:53:507 ID = 4 7.372163018816469




2009 01 16::10:36:53:757 ID = 4 7.539878304945214




2009 01 16::10:36:54:007 ID = 4 7.886398057796839




2009 01 16::10:36:54:257 ID = 4 8.099198447009858




2009 01 16::10:36:54:507 ID = 4 8.393520268800847




2009 01 16::10:36:54:757 ID = 4 9.032285621351456




2009 01 16::10:36:55:007 ID = 4 9.038619683199034




2009 01 16::10:36:55:257 ID = 4 9.140390183280434




2009 01 16::10:36:55:507 ID = 4 9.1694781726823




2009 01 16::10:36:55:757 ID = 4 9.277728689786468




2009 01 16::10:36:56:023 ID = 4 9.570425002902905




2009 01 16::10:36:56:273 ID = 4 9.729721283479265




2009 01 16::10:36:56:523 ID = 4 9.981907671584878




2009 01 16::10:36:56:773 ID = 4 10.164029810520825




2009 01 16::10:36:57:023 ID = 4 10.744636661618113




2009 01 16::10:36:57:273 ID = 4 11.023638634478461




2009 01 16::10:36:57:523 ID = 4 11.680183107005215




2009 01 16::10:36:57:773 ID = 4 11.89220169131332




2009 01 16::10:36:58:023 ID = 4 11.917948495350073




2009 01 16::10:36:58:273 ID = 4 11.981674065785663




2009 01 16::10:36:58:523 ID = 4 12.579721966458502




2009 01 16::10:36:58:773 ID = 4 12.586136610371291




2009 01 16::10:36:59:023 ID = 4 12.588208471182515




2009 01 16::10:36:59:273 ID = 4 12.659702894838265




2009 01 16::10:36:59:523 ID = 4 12.93262088008441




2009 01 16::10:36:59:773 ID = 4 13.1446888934173




2009 01 16::10:37:00:023 ID = 4 13.386779831285656




2009 01 16::10:37:00:273 ID = 4 13.50172098447916




